state,action_0,action_1,action_2,action_3,action_4,action_5
782,-32.93924325978229,-33.00889735542387,-32.92724832864935,-32.97624318020605,-33.12526808022233,-33.42661119342271
783,-6.954844989334876,-6.993721307281427,-6.97459180190411,-6.984576525615424,-8.923728138482907,-8.677336328451027
784,-5.980308857609752,-6.01457058511424,-5.965705467946524,-5.986435930018466,-7.539243642599634,-6.817170546794654
785,-7.5411506554609495,-7.607544775793903,-7.600000000000007,-7.579902949687005,-7.587931717961481,-8.703976567298868
786,0.0,0.0,0.0,0.0,0.0,0.0
787,-32.4953999474761,-32.56603512580279,-32.51427115861409,-32.55602293626262,-33.39251483572841,-34.15215962677186
788,-3.437488680237115,-3.4448701897923,-3.37936183663451,-3.3995910853697175,-4.735775258543228,-4.6097328649273015
789,-4.2713624155879595,-4.2564331498053045,-4.18246357674664,-4.295306655561093,-4.910319607017708,-4.813613930002251
790,-38.72348575799532,-38.762842812937215,-38.709721208382064,-38.66355871090433,-40.830035542358274,-39.11551782851929
791,-42.612591703407944,-42.662847909051216,-42.60543348437351,-42.608263472112924,-43.37112746717931,-43.080028685036254
792,0.0,0.0,0.0,0.0,0.0,0.0
793,-37.44305374723817,-37.480274458466965,-37.468751505640505,-37.4181655330026,-38.962367405456845,-37.67314544848486
794,-50.458737860366305,-50.50258028678953,-50.42897500591226,-50.45920177022682,-51.47394991883127,-51.970584680531644
795,-7.046664499722865,-7.11510738500663,-7.0560895004410735,-7.08182741286055,-8.72275304363955,-8.145222781838434
796,-4.585683372395313,-4.617615574256426,-4.5809303925620855,-4.5947195934327825,-5.888192317931341,-4.960000000000001
797,-31.810813385473374,-31.82444805033026,-31.78298656167165,-31.815900905989693,-32.08910253169558,-32.270078993177385
798,0.0,0.0,0.0,0.0,0.0,0.0
799,-3.1702245655475774,-3.199962667280401,-3.1808150294589606,-3.2781672507247506,-3.6397900000000005,-3.999540287028905
800,-3.9637896736480727,-3.8535544227924357,-3.8900000000000032,-3.974825733125455,-6.4949906936466615,-4.85228
801,-3.206495117575611,-3.0672989346605024,-3.1960247616153126,-3.1000000000000023,-3.835,-3.8701310473
802,-32.4451877458488,-32.483562405368886,-32.416788190062796,-32.40117209614596,-32.53724244360582,-33.07150548344891
803,-1.7205986632747843,-1.6890265001293003,-1.6898209000000008,-1.700000000000001,-1.9550949000000002,-1.9498010000000003
804,0.0,0.0,0.0,0.0,0.0,0.0
805,-2.4002223764530513,-2.446779984956816,-2.3996497246323623,-2.3964972463236096,-3.901186569274196,-2.915
806,-2.407417446399263,-2.4414496797725858,-2.3963498513617894,-2.4850584919400256,-3.0,-2.96897659
807,-32.46556236699833,-32.544945512198,-32.462486560458636,-32.52575358817284,-32.84616059923565,-36.45793391003781
808,-1.3157995761832906,-1.3746167995877858,-1.2978975812900906,-1.3000000000000007,-1.9500000000000002,-2.0
809,-0.281,-0.2052882,-0.29900000000000004,-0.2,-1.9,-1.0
810,0.0,0.0,0.0,0.0,0.0,0.0
811,-8.016511966489775,-8.010119847201308,-7.94779847770754,-7.98644321198716,-8.817275856825457,-8.85010565247126
812,-32.91145903068769,-32.97507140850154,-32.91845000143969,-32.96015606838719,-33.32191184017933,-36.2979197122832
813,-7.356444384727012,-7.4248528961045785,-7.3989189218869855,-7.390000000000007,-9.512880553333087,-10.693565580019605
814,-6.417173993700432,-6.475610679618815,-6.381698999364163,-6.470604571476786,-6.589614316496329,-6.5011432883468485
815,-7.166755003369976,-7.192023598695729,-7.186801903442709,-7.1790526317215555,-7.737286858690895,-7.889655683897264
816,0.0,0.0,0.0,0.0,0.0,0.0
817,-32.3828813276105,-32.45481817226873,-32.458325573342165,-32.359623175829164,-33.362696386275346,-33.817127445243706
818,-3.1612861220447894,-3.2245964175228865,-3.2000000000000024,-3.2000000000000024,-3.9761846733871957,-4.0
819,-3.6006241572942583,-3.619895474346709,-3.592387796659524,-3.5729572155903964,-3.9363900000000003,-5.349030780551831
820,-38.86519175854622,-38.91654985389527,-38.90647371552655,-38.88746935398089,-43.637614455793866,-39.214993145225954
821,-42.65892255699286,-42.687901366271774,-42.60662777949223,-42.642176073783624,-43.22122245215047,-44.833374901537084
822,0.0,0.0,0.0,0.0,0.0,0.0
823,-37.58133162364658,-37.61272921967624,-37.531614107695276,-37.529377435406055,-39.139223326939764,-37.842764404049326
824,-50.33462377379166,-50.391859097132375,-50.38150020588309,-50.33933350224733,-51.1734228791208,-51.13334349535851
825,-5.703021200304888,-5.644772616752789,-5.700000000000005,-5.68305283027507,-5.561368628920602,-8.183783136250229
826,-2.4982198993522795,-2.532119384149626,-2.5000000000000018,-2.5860514842306044,-1.0035313339346184,-3.920127558210189
827,-32.0056106477047,-31.970096476459446,-32.06385011559058,-31.975801710226797,-32.07565043551756,-34.76133207224044
828,0.0,0.0,0.0,0.0,0.0,0.0
829,-1.2240697318211005,-1.177959869607033,-1.0843707544719026,-1.1716067686033198,6.291852071234556,-2.784715782
830,-4.610792341700477,-4.6738734334332905,-4.671352592869979,-4.700000000000005,-5.0,-5.867000000000001
831,-3.3036966911851855,-3.2871740287051883,-3.2985307831540025,-3.281368161835418,-4.597662861215062,-3.9559436875575873
832,-32.52863830891791,-32.596724750302286,-32.58752150840148,-32.52833136873223,-34.20812979624494,-33.146777106175335
833,-2.0029277617870807,-2.0698929203664322,-2.0909750679354975,-2.0000000000000013,-2.974367197076633,-2.931094519928329
834,0.0,0.0,0.0,0.0,0.0,0.0
835,-4.981731412398772,-3.8589950852286288,-5.036947080081348,-4.993056552326735,-6.748225454559446,-5.103655025518666
836,-2.0121576654590583,3.105878515488156,-1.6547282703081667,-1.655430859903794,-2.0,-1.986764262527041
837,-32.1831176278078,-32.20637386263824,-32.17640382010093,-32.144664200295516,-35.05185951221704,-32.127137684356065
838,-0.19,2.775403898995767,3.522942088843293,1.754374322111262,-1.0,19.99514501109937
839,-0.7451196900000001,11.775714056202954,0.2404471857052881,-0.6927290577587673,-3.7660078648928685,-0.7318021860000001
840,0.0,0.0,0.0,0.0,0.0,0.0
841,-7.8990000000000045,-7.937777450636592,-7.892528767229188,-7.899900000000009,-8.444887121099407,-9.322295971518349
842,-32.94334117066264,-32.95061683694108,-32.9185324405702,-32.89569686071403,-34.5276740051922,-33.00143632722347
843,-7.384626218339879,-7.331286752617727,-7.398326931813322,-7.39378866718627,-7.762011520951317,-9.541283219126232
844,-6.500000000000005,-6.5461206195530215,-6.526040212453509,-6.474615495560924,-9.057519425346118,-6.893032470466927
845,-7.179455213842747,-7.138117794450576,-7.209514639291754,-7.139120936462195,-7.921676317609258,-7.911852388091553
846,0.0,0.0,0.0,0.0,0.0,0.0
847,-32.45746170498468,-32.49941852575962,-32.53547291783737,-32.502355694029646,-33.7654110520439,-33.2806282280555
848,-3.0895927690538825,-3.087645271456701,-3.045484143716733,-2.9991796389940704,-3.0,-3.935431835297055
849,-3.4698000000000024,-3.4935403196900436,-3.409106717995185,-3.47913686713384,-3.959,-3.950236818057272
850,-38.80528976599379,-38.80530666187696,-38.85561905293994,-38.78511166346959,-38.993123227296316,-40.014422051216734
851,-42.665764391898925,-42.660054945244816,-42.69691020304733,-42.61145595910342,-43.05608137168428,-44.32617017950041
852,0.0,0.0,0.0,0.0,0.0,0.0
853,-37.427722169865575,-37.4584588858013,-37.49013496402515,-37.40187128644278,-37.4029799498668,-38.517215742752796
854,-50.306352381738265,-50.37455766261004,-50.37243121494426,-50.3236872528801,-51.44071270017553,-50.322826156250855
855,-6.584857984365795,-6.630932670357206,-6.572706125664274,-6.596775798436585,-6.807499587755734,-8.034643560982541
856,-3.5918617875350343,-3.6296385511850593,-3.5377680346482787,-3.5910996215266935,-4.751246107083801,-4.813560982
857,-31.887777938498395,-31.829890608105146,-31.919027337568362,-31.869776563712513,-33.49084424967706,-32.50177355007894
858,0.0,0.0,0.0,0.0,0.0,0.0
859,-2.4000000000000017,-2.3946132467528574,-2.3399674430040074,-2.4000000000000017,-2.96,-3.6611000000000002
860,-4.682032848012964,-4.723899801824935,-4.716028555737354,-4.692091157677537,-7.352384145169481,-6.672211656007228
861,-3.271957875120816,-3.3272673733802884,-3.266158346762252,-3.2975011081706196,-4.8328872986586955,-4.64699140501896
862,-32.60601056774963,-32.535558722549936,-32.61178678646432,-32.551522801275745,-33.464993905021494,-33.68254049962264
863,-1.9883154525400015,-1.996185972633482,-1.9879581467179959,-2.0000000000000013,-2.0,-1.9388100000000001
864,0.0,0.0,0.0,0.0,0.0,0.0
865,-4.5000000000000036,-4.568873448899578,-4.50277270908676,-4.497662860313758,-4.768000000000001,-6.05613159927519
866,-0.7900000000000003,-0.8077973043831,-0.7749913300000003,-0.8000000000000003,-1.92,-1.9100000000000001
867,-32.43039693241819,-32.37828796749479,-32.37125130598736,-32.33081010321532,-34.21343108760495,-32.31395890325925
868,-0.29000000000000004,-0.3729,-0.30810000000000004,-0.30000000000000004,-1.9100000000000001,-1.0
869,-0.5000000000000001,-0.49577000000000016,-0.529889,-0.49972000000000016,-1.0,-1.0
870,0.0,0.0,0.0,0.0,0.0,0.0
871,-7.8742704216365595,-7.915134699200537,-7.896765192657544,-7.919436817547767,-8.815616690569243,-8.682783856733582
872,-32.87739331672755,-32.922293448320666,-32.879261656909215,-32.89842835492356,-34.69679972248812,-33.73131993312226
873,-7.382739887915573,-7.510675663515756,-7.3987164158840475,-7.34886282509885,-11.510457473691325,-8.11377981892527
874,-6.48141408509184,-6.5803813775324755,-6.576407094602081,-6.541669303059683,-8.715368497760357,-6.801912792017866
875,-7.187240354041522,-7.224070816178374,-7.163927541059449,-7.159273298200988,-8.299331936625812,-7.676888936327746
876,0.0,0.0,0.0,0.0,0.0,0.0
877,-32.551102329924625,-32.601113254451676,-32.59680681030159,-32.535660540456554,-34.74352199856972,-33.08321458221437
878,-2.9833606818479286,-3.005801184179163,-3.055920369899262,-3.083656104126664,-3.9516848000000007,-5.349088098105071
879,-3.328290398683185,-3.3884069602419395,-3.3756704734358953,-3.4169309133450017,-4.729418847850935,-3.887070016343589
