state,action_0,action_1,action_2,action_3,action_4,action_5
295,11.999999999999934,3.69449942241062,2.163879963691138,3.7862858929585603,-0.45644293532903313,-3.052503977266046
296,2.2963618664234615,-0.63684631378,15.564821170095362,-0.6000000000000001,-1.840679587268586,-1.0
297,-453.9797704477348,-453.90211378568955,-453.95699310474845,-453.8888325664102,-454.4982882432681,-455.1634855548978
298,16.17345016087561,-0.6956794728221332,-0.01870262131434386,-0.6000000000000001,-1.9100000000000001,-1.4830554958316466
299,15.90952730655538,0.053520164961797845,-0.41891000000000006,-0.5000000000000001,-1.3513454039474029,-1.0
300,0.0,0.0,0.0,0.0,0.0,0.0
301,-12.753768114726102,-12.806748328330578,-12.808744912096724,-5.12608232832569,-13.036543761791563,-13.717027120130838
302,-453.9990044211343,-453.9460705621688,-453.92760857262743,-453.9730390656066,-454.8717593729156,-454.2959410976351
303,0.34539491787233545,-11.747929099196801,-11.712463877795017,-11.652202551655249,-11.93142911234598,-12.558989268070144
304,3.7098804737355735,-9.220214501027062,-7.997885234119648,-9.18567942795978,-10.127473945313454,-9.410702110086604
305,-5.203066577054136,-6.335987657422716,5.999999999093448,-3.6237114251894007,-7.442444080047672,-6.029343437121684
306,0.0,0.0,0.0,0.0,0.0,0.0
307,-454.035203168139,-454.1263493267405,-454.1028505164253,-454.05764734961303,-455.2336030546404,-456.77616165437234
308,-3.576918890987678,-2.469542556827135,10.531110979138287,-3.604949216981662,-4.0,-3.9454090470263297
309,3.056527756385063,0.2868215050147388,11.999999999564958,-0.5910158487400576,-1.9513859320331557,-1.512293774388659
310,-565.1020868548909,-565.09451007329,-565.0685331687885,-565.0512189367977,-565.7434432137965,-566.0547038407019
311,-637.5089135335467,-637.5902374520905,-637.5874910216228,-637.5576406853074,-639.1596418168346,-638.6417991635124
312,0.0,0.0,0.0,0.0,0.0,0.0
313,-581.9729942813544,-581.9296662062751,-581.9105631851412,-582.0414231864627,-584.7558124043859,-583.0124698788219
314,-594.8127114349522,-594.7727487016183,-594.7322761252126,-594.8117915095595,-596.6009843104224,-595.7477393181717
315,5.754024495812597,-7.1839455019362655,-7.394440348297592,-5.637434536540322,-7.789616604035077,-8.60012551208447
316,8.858219065740077,-3.925779611285627,-4.13707578057988,-3.9595838875222773,-5.230258226525367,-3.989818915204541
317,-454.22882882855754,-454.17367995664705,-454.14721073609985,-454.1956163201395,-455.2494180440257,-454.2165301720271
318,0.0,0.0,0.0,0.0,0.0,0.0
319,11.766845317256886,-2.3777854627625086,-2.6646978682967464,-2.5972414357477516,-2.4761029997355997,-3.0
320,7.791730027930322,-4.489319708587676,-4.537508436714226,-4.52219752685321,-5.736086570612299,-4.783284248674634
321,10.591567754568903,-3.309561718948041,-3.404272882923713,-3.3285605491201897,-3.972280631976207,-6.1426210240073065
322,-453.80033466654777,-453.7927134762646,-453.71125293356295,-453.7505448326837,-454.27551858140407,-454.3921504390407
323,12.943406993325715,-1.7816070934502481,-1.0821469515875537,-0.5165023076286324,-1.4609396792571832,-1.98265177557
324,0.0,0.0,0.0,0.0,0.0,0.0
325,-4.644434202386731,-4.631205848587324,-4.682214902140315,10.413770514115427,-7.387240560074657,-7.414546641374656
326,1.2251040999999954,-0.342,17.99574695763354,1.0344610311405638,-0.15414324421166725,-0.272534786544104
327,-453.9543709355063,-453.9043006328209,-453.9288601799824,-453.9855653751627,-455.1264899702412,-456.1455357134238
328,15.591549356405762,-0.7265782311000002,-0.7374507,0.7650884959719865,-0.7147639910318672,-1.0
329,16.999999999999954,7.039488587098488,5.34675529373691,2.5669709997689196,3.563828784799786,4.7268851320397305
330,0.0,0.0,0.0,0.0,0.0,0.0
331,-10.66820147059598,-13.118347818003338,-13.064667326154638,-13.064646416755757,-14.45777350065449,-16.45732915535184
332,-454.00208545430075,-453.97661802746734,-453.91287801136707,-453.9533970857897,-454.7329903094581,-454.8985118102943
333,-11.96973476762765,-11.934279045085162,-11.99401085006501,-4.719764314823627,-12.852669726951948,-13.473000087769238
334,-9.431819254402566,-9.485899367836875,-9.494149143169595,-0.022136031536509948,-9.84421636410487,-10.271804110860398
335,-1.2544442219273644,6.99999999997299,-1.1324742581350145,-0.391168060534367,-6.748043048737114,-6.917360272257524
336,0.0,0.0,0.0,0.0,0.0,0.0
337,-454.03575460248345,-454.08128573109724,-454.0515018249075,-454.1606402987132,-454.9367704495964,-456.0263872430331
338,1.386486701223935,11.9999999999948,2.2741183629776205,1.370262954472319,-1.5087816556233427,-3.945715932825646
339,1.72485370427504,12.999999999999684,4.828056479515497,5.584328956059083,-2.138325435493752,-1.0494786990548863
340,-565.1098563474123,-565.0814722721454,-565.0794808253798,-565.0532410219703,-565.4178976373594,-565.595465616764
341,-637.516457007762,-637.5697899515876,-637.4798985381768,-637.6066474564637,-638.2676435864613,-638.5413530381786
342,0.0,0.0,0.0,0.0,0.0,0.0
343,-581.916168390348,-581.8848683847447,-581.8968398928655,-581.9342930702684,-582.025261315419,-581.8790625004158
344,-594.8262005149777,-594.8204885809364,-594.7782132970452,-594.7985340030917,-595.6818264354403,-595.2662026242144
345,-6.162470174048561,-7.69945692645535,-7.072567789773134,1.6711662761522963,-8.696730244258923,-8.537501823187299
346,-4.314088186672289,-4.2920851964546625,-4.300000000000003,1.4949746580739718,-4.988098438205437,-6.6329161390768885
347,-454.10162139384306,-454.2797041549714,-454.05155082429894,-454.14740085543906,-456.2098184010958,-455.58993445153885
348,0.0,0.0,0.0,0.0,0.0,0.0
349,-2.7721904593408233,-2.791482402540951,-2.798364759905073,5.53173938235669,-4.77637620579538,-4.462466182535801
350,5.512314186620171,-4.781544253888027,-4.360247808663962,-4.31934402045057,-5.85491901644476,-5.940627968270346
351,-1.6852795502484117,-3.544031735224889,-3.48410062119675,6.175568935119769,-4.683149478652745,-4.6592624388065635
352,-453.7212890202121,-453.72034163131946,-453.6949735900555,-453.76346255699156,-455.1894254448668,-454.2968968473897
353,-1.8934619031742628,-1.9644433969839137,-1.7056373516328154,9.85517081492603,-2.460154583466433,-2.5333246700479672
354,0.0,0.0,0.0,0.0,0.0,0.0
355,-5.074685424487229,-3.814807334698565,-4.602079495755537,3.49951659568816,-5.716893775219838,-6.0
356,14.081109087255655,18.999999999999975,17.047494784961692,16.205628931467576,8.605377245954216,8.566129581170308
357,-453.9953749097075,-453.9753862128367,-453.9110627040086,-453.9281976790158,-454.564545934294,-454.81749018026215
